"DocCode","TypeCode","DocName","Category","Bytes","RptHash"
"ACT10001","ACT1","Account Index (System)","P","",""
"ACT20001","ACT2","BP Index (System)","P","",""
"ADM10001","ADM1","Current Configuration Report (System)","C","267264","EB0D776F136D1BF2C1C540722FE46114"
"ADM20001","ADM2","Configuration Comparison Report (System)","C","610304","23EF2732EC7980EA9A88E8ACCAF21C18"
"ADM30001","ADM3","Saved Configuration Report (System)","C","286208","DE0142F89526789A9E6B5B746F4394D8"
"ADV10001","ADV1","Advances on Corp. Tax on Turnover Report (System)","P","",""
"AGE10001","AGE1","Business Partner Ageing (Summary) (System)","P","",""
"AGE10002","AGE1","Business Partner Ageing (Summary) - CR (GB) (System)","C","76288","AD4F3833280E3465D3CCB030A69FD311"
"AGE10003","AGE1","BP Ageing - Horizontal Layout (Summary) (System)","P","",""
"AGE10004","AGE1","Business Partner Ageing With Chart(Summary) - CR(GB) (System)","C","115712","A774A767CAB54A056A6E30FE67CB0BE2"
"AGE20001","AGE2","Business Partner Ageing (Details) (System)","P","",""
"AGE20002","AGE2","Business Partner Ageing (Details) - CR (GB) (System)","C","84992","35CA070A1CE1192CBD899F49BF1A1295"
"AGE20003","AGE2","BP Ageing - Horizontal Layout (Details) (System)","P","",""
"AGE20005","AGE2","BP Ageing - Consolidated Horizontal Layout (Details) (System)","P","",""
"AGE20007","AGE2","BP Ageing - Consolidated Horizontal Layout (Summary) (System)","P","",""
"AGE30001","AGE3","Collection Report (System)","P","",""
"AGE30002","AGE3","Collection Report - CR (GB) (System)","C","84992","9D43F5BCC931696A2B918DED332782B4"
"AGE40001","AGE4","APA Card Liabilities Ageing - Summary (System)","P","",""
"AGE40002","AGE4","Ageing Summary (by Employee) - CR (GB) (System)","C","77824","6E7C3C8B41204335717CD43EEE39B9D1"
"AGE50001","AGE5","APA Card Liabilities Ageing - Details (System)","P","",""
"AGE50002","AGE5","Ageing Details (by Employee) - CR (GB) (System)","C","77824","4AD6DDB234B3424076D9A5577CC46B9A"
"AGE60001","AGE6","APA Collection Report (System)","P","",""
"AGE60002","AGE6","Collection Report (by Employee)  - CR (GB) (System)","C","72192","CA82A5A0607456749C5AEEA30CF95BCF"
"BAL10001","BAL1","Balance Sheet (System)","P","",""
"BAL10002","BAL1","Balance Sheet - CR (GB) (System)","C","128000","E7830FFBF971B2FF644CCEB936B57A76"
"BAL10003","BAL1","Balance Sheet (System)","P","",""
"BAL10004","BAL1","Balance Sheet (CR) (System)","C","89088","64F8385F191970C794216FC5EA0631EB"
"BAL20001","BAL2","Vertical Balance Sheet Comparison (System)","P","",""
"BAL30001","BAL3","Periodic Balance Sheet (System)","P","",""
"BAL30002","BAL3","Periodic Balance Sheet - CR (GB) (System)","C","73728","50F80F5ECBE2AECDF2BAEFBD50AABCF5"
"BAL40001","BAL4","Vertical Balance Sheet (System)","P","",""
"BAL40002","BAL4","Vertical Balance Sheet - CR (GB) (System)","C","68608","7213719CC9F4E7487EB06BE201FE790B"
"BAL40003","BAL4","Balance Sheet (CR) (System)","C","89088","8C5ADE0E79CD4A9A46A442CEBE5E7341"
"BAL50001","BAL5","Balance Sheet Comparison (System)","P","",""
"BGT00001","BGT0","Budget (System)","P","",""
"BGT10001","BGT1","Monthly Budget Report (System)","P","",""
"BGT20001","BGT2","Annual Budget Report (System)","P","",""
"BGT30001","BGT3","Budget Report - Graph (System)","P","",""
"BGT40001","BGT4","Budget Balance Sheet (System)","P","",""
"BGT50001","BGT5","Profit & Loss Statement Budget Report (System)","P","",""
"BGT60001","BGT6","Budget Trial Balance (System)","P","",""
"BGT70001","BGT7","Periodic Budget Balance Sheet (System)","P","",""
"BGT80001","BGT8","Periodic Profit & Loss Statement Budget Report (System)","P","",""
"BGT90001","BGT9","Periodic Budget Trial Balance (System)","P","",""
"BIN10001","BIN1","Bin Location List - CR (System)","C","72704","0B2014CA4C502732F9048E737312C865"
"BIN20001","BIN2","Bin Location Content List - CR (System)","C","77312","7A83579A94DF4AC6174B565A06714C70"
"BMU10001","BMU1","BOM Update Report (System)","P","",""
"BNK00001","BNK0","Bank Statement Report (System)","P","",""
"BOE10001","BOE1","AP Generation BoE  : Prenumbered BoE (System)","P","",""
"BOE20001","BOE2","AP Generation Bill of Exchange: Pre-numbered BoE (System)","P","",""
"BOE20003","BOE2","Bill of Exchange_Receivables (System)","P","",""
"BOE30001","BOE3","Bill of Exchange Status Details (System)","P","",""
"BOE40001","BOE4","Bill of Exchange Deposited Details (System)","P","",""
"BOT10001","BOT1","Bill of Exchange Transaction (System)","P","",""
"BOT20001","BOT2","BoE Managment - Sent Status (System)","P","",""
"BOT30001","BOT3","BoE Management - Generated Status (System)","P","",""
"BOT40001","BOT4","BoE Management - Deposited Status (System)","P","",""
"BOT50001","BOT5","BoE Managment - Paid Status (System)","P","",""
"BOT60001","BOT6","BoE Management - Failed Status (System)","P","",""
"BOT70001","BOT7","BoE Management - Cancelled Status (System)","P","",""
"BOT80001","BOT8","BoE Management - All Statuses (System)","P","",""
"BOT90001","BOT9","Bill of Exchange Mgt - Closed Status (System)","P","",""
"BOX10001","BOX1","VAT Declaration Boxes (System)","P","",""
"BOX10002","BOX1","VAT Declaration Boxes - CR (GB) (System)","C","66048","89707FA359AB34207B6D614E331877C3"
"BPL10001","BPL1","Profit and Loss Statement (System)","P","",""
"BPL10002","BPL1","Profit and Loss Statement - CR (GB) (System)","C","31232","FC0761C16789249FE95F441C5BD6B31D"
"BPL10003","BPL1","Profit and Loss Statement (CR) (System)","C","82432","AD79824BA86A53A88A4B3BE8309C2F3F"
"BPL20001","BPL2","Profit and Loss Statement Comparison (System)","P","",""
"BPL30001","BPL3","Periodic Profit & Loss Statement (System)","P","",""
"BPL30002","BPL3","Periodic Profit and Loss Statement - CR (GB) (System)","C","73216","D775B7FC46A19C1A743005E71E3D4538"
"BPL40001","BPL4","Profit and Loss Statement (System)","P","",""
"BRDR0001","BRDR","Backorder Report (System)","P","",""
"BRDR0003","BRDR","Backorder Report  (EhP) (System)","P","",""
"BTN10001","BTN1","Batch Numbers (System)","P","",""
"BTN20001","BTN2","Batch Number Transactions (System)","P","",""
"BTN30001","BTN3","Batch Report (System)","P","",""
"CBL10001","CBL1","Trial Balance (System)","P","",""
"CBL10002","CBL1","Trial Balance - CR (GB) (System)","C","67584","EE04459232A7CD47E030070D7CD85F83"
"CBL20001","CBL2","Expanded Trial Balance (System)","P","",""
"CBL20002","CBL2","Expanded Trial Balance Sheet - CR (GB) (System)","C","73728","0FC9BADF8FEF2A199CEC073157834699"
"CBL30001","CBL3","Trial Balance Comparison (System)","P","",""
"CBL40001","CBL4","Periodic Trial Balance (System)","P","",""
"CBL40002","CBL4","Periodic Trial Balance Sheet - CR (GB) (System)","C","72192","0AA5B926A0C83F9AAD291142E4CFCC64"
"CBL50001","CBL5","Detailed Trial Balance (System)","P","",""
"CFH10001","CFH1","Cash Flow Report (System)","P","",""
"CFH10002","CFH1","Statement Of Cash Flows (CR) (System)","C","69120","FABDF518DB8D821F056335A7403BDDE6"
"CFT10001","CFT1","Cash Flow Reference Report (System)","P","",""
"CHH10001","CHH1","Cheque Register (System)","P","",""
"CHH10003","CHH1","Cheque Register (EhP) (System)","P","",""
"CHO10001","CHO1","Cheques for Payment (System)","P","",""
"CHO10002","CHO1","Cheques for Payment - CR (GB) (System)","C","61952","012B7B2295AC38F77AE08D583D7FBC5F"
"CHO10003","CHO1","UK_Cheque (System)","P","",""
"CHO10005","CHO1","UK Box Amount Cheque (System)","P","",""
"CHO20001","CHO2","Voiding Cheques (System)","P","",""
"CHR10001","CHR1","Cash Report (System)","P","",""
"CLG10001","CLG1","Contact Overview (System)","P","",""
"CLG20001","CLG2","Activity Details - Meeting, Phone Call, Other (System)","P","",""
"CLG30001","CLG3","Activity Details - Task (System)","P","",""
"CLG40001","CLG4","Activity Details - Note (System)","P","",""
"CLN10001","CLN1","Calendar (Monthly) - CR (System)","C","276992","530756ED3C3ACA67D68D87113C4918F1"
"CLN20001","CLN2","Calendar (Weekly) - CR (System)","C","931328","4F5A85A27BB302B7B10D26D9F80DFF6C"
"CLN30001","CLN3","Calendar (Work Weekly) - CR (System)","C","931328","91388A952A8B64B91CC8DB584F09E347"
"CLN40001","CLN4","Calendar (Daily) - CR (System)","C","218624","3CD84363D6B918BAEEE946C63AD0460F"
"CLN50001","CLN5","Calendar (By Group) - CR (System)","C","1064448","0A81887C360192B0E3DAF2944C94C885"
"CPI30001","CPI3","AP Correction Invoice (Services) (System)","P","",""
"CPI40001","CPI4","AP Correction Invoice (Items) (System)","P","",""
"CPN10001","CPN1","Campaign - CR (System)","C","59392","57814161244A04DB301F60BBC8D3D76A"
"CPN20001","CPN2","Campaign List Report - CR (System)","C","67584","EE4ED5D2A7175B0CBA8D80A26E40A9C3"
"CPV30001","CPV3","AP Correction Invoice Reversal (Services) (System)","P","",""
"CPV40001","CPV4","AP Correction Invoice Reversal (Items) (System)","P","",""
"CRD10001","CRD1","BP Index (System)","P","",""
"CRD20001","CRD2","Inactive Customers (System)","P","",""
"CRD30001","CRD3","Last Prices (System)","P","",""
"CRD30003","CRD3","Last Prices  (EhP) (System)","P","",""
"CRH10001","CRH1","Credit Card Management (System)","P","",""
"CRH20001","CRH2","Postdated Credit Vouchers (System)","P","",""
"CRH20002","CRH2","Postdated Credit Vouchers - CR (GB) (System)","C","67584","E1B4D9E315F308988AB780EFD16654C2"
"CRTF0001","CRTF","Certificate Letter (System)","P","",""
"CRTF0002","CRTF","Certificate Letter - CR (GB) (System)","C","58368","65B1CCE926B0B8DCD5079443518475D0"
"CSE10001","CSE1","IRU Audit Trail Report (System)","P","",""
"CSI30001","CSI3","AR Correction Invoice (Service) (System)","P","",""
"CSI40001","CSI4","AR Correction Invoice (Items) (System)","P","",""
"CSV30001","CSV3","AR Cor. Inv. Reversal (Services) - CEE (System)","P","",""
"CSV40001","CSV4","AR Cor. Inv. Reversal (Items) - CEE (System)","P","",""
"CTR10001","CTR1","Service Contract (System)","P","",""
"CTR20001","CTR2","Service Contract - Customer (System)","P","",""
"CTR30001","CTR3","Service Contract - Item Group (System)","P","",""
"CTR40001","CTR4","Service Contract Report (System)","P","",""
"CTT10001","CTT1","Service Contract Template (System)","P","",""
"DAE10001","DAE1","Archiving Error Log 1 (System)","P","",""
"DAE20001","DAE2","Data Archiving Error Log 2 (System)","P","",""
"DAR00001","DAR0","Archiving Cluster Report (System) (System)","P","",""
"DAR10001","DAR1","Recommendation Report (System)","P","",""
